TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP
枚举类型(游戏独有的id合成方式，等于游戏id+三位，比如g1019,id组成就是1019XXX)	模板说明	备注	中文	英文	葡萄牙语	俄语	韩语	德语	法语	西语	意大利语	印尼语	泰语	土耳其	越南语	日语
1024001	宝石骑士	宝石骑士	宝石骑士	Gem Knight	Gem Knight	Gem Knight	Gem Knight	Gem Knight	Gem Knight	Gem Knight	Gem Knight	Gem Knight	Gem Knight	Gem Knight	Gem Knight	Gem Knight
1024002		游戏开始	▢FF00FFFF游戏开始，快去收集资源吧。	▢FF00FFFFGame Start ! Collect the resources now.	▢FF00FFFFGame Start ! Collect the resources now.	▢FF00FFFFИгра началась ! Собирайте ресурсы прямо сейчас.	▢FF00FFFFGame Start ! Collect the resources now.	▢FF00FFFFGame Start ! Collect the resources now.	▢FF00FFFFGame Start ! Collect the resources now.	▢FF00FFFFGame Start ! Collect the resources now.	▢FF00FFFFGame Start ! Collect the resources now.	▢FF00FFFFGame Start ! Collect the resources now.	▢FF00FFFFเกมเริ่มขึ้น รีบไปเก็บทรัพยากรเถอะ	▢FF00FFFFGame Start ! Collect the resources now.	▢FF00FFFFGame Start ! Collect the resources now.	▢FF00FFFFGame Start ! Collect the resources now.
1024003		进入沙池	▢FF00FFFF你已进入沙池范围	▢FF00FFFFYou've got into the sand pool.	▢FF00FFFFYou've got into the sand pool.	▢FF00FFFFВы попали в песочный бассейн.	▢FF00FFFFYou've got into the sand pool.	▢FF00FFFFYou've got into the sand pool.	▢FF00FFFFYou've got into the sand pool.	▢FF00FFFFYou've got into the sand pool.	▢FF00FFFFYou've got into the sand pool.	▢FF00FFFFYou've got into the sand pool.	▢FF00FFFFคุณได้เข้าสู่เขตสระทรายแล้ว	▢FF00FFFFYou've got into the sand pool.	▢FF00FFFFYou've got into the sand pool.	▢FF00FFFFYou've got into the sand pool.
1024004		寻找宝石	▢FF00FFFF宝石位置被激活，快去寻找（蓝色字体）	▢FF00FFFFThe location of the gem is activated. Look for it quickly (blue font).	▢FF00FFFFThe location of the gem is activated. Look for it quickly (blue font).	▢FF00FFFFактивированный драгоценный камень. Ищите это сейчас (написано синим цветом).	▢FF00FFFFThe location of the gem is activated. Look for it quickly (blue font).	▢FF00FFFFThe location of the gem is activated. Look for it quickly (blue font).	▢FF00FFFFThe location of the gem is activated. Look for it quickly (blue font).	▢FF00FFFFThe location of the gem is activated. Look for it quickly (blue font).	▢FF00FFFFThe location of the gem is activated. Look for it quickly (blue font).	▢FF00FFFFThe location of the gem is activated. Look for it quickly (blue font).	▢FF00FFFFตำแหน่งอัญมณีถุกเปิดใช้งาน รีบไปหา（ตัวอักษรสีน้ำเงิน）	▢FF00FFFFThe location of the gem is activated. Look for it quickly (blue font).	▢FF00FFFFThe location of the gem is activated. Look for it quickly (blue font).	▢FF00FFFFThe location of the gem is activated. Look for it quickly (blue font).
1024005		放回石像	▢FF00FFFF将宝石放回石像	▢FF00FFFFPut the gem back to statue.	▢FF00FFFFPut the gem back to statue.	▢FF00FFFFПоместите драгоценный камень в статую.	▢FF00FFFFPut the gem back to statue.	▢FF00FFFFPut the gem back to statue.	▢FF00FFFFPut the gem back to statue.	▢FF00FFFFPut the gem back to statue.	▢FF00FFFFPut the gem back to statue.	▢FF00FFFFPut the gem back to statue.	▢FF00FFFFไว้อัญมณีที่กล่องหิน	▢FF00FFFFPut the gem back to statue.	▢FF00FFFFPut the gem back to statue.	▢FF00FFFFPut the gem back to statue.
1024006		获得宝石	%1s▥队▢FF00FFFF%2s▥玩家获得宝石	%1s Team ▢FF00FFFF%2s player get the Gem!	%1s Team %2s player get the Gem!	%1s команда %2s получил драгоценный камень!	%1s Team %2s player get the Gem!	%1s Team %2s player get the Gem!	%1s Team %2s player get the Gem!	%1s Team %2s player get the Gem!	%1s Team %2s player get the Gem!	%1s Team %2s player get the Gem!	%1s ทีม▢FF00FFFF%2sผู้เล่นได้รับอัญมณี	%1s Team %2s player get the Gem!	%1s Team %2s player get the Gem!	%1s Team %2s player get the Gem!
1024007		资源填满，提示宝石激活	%1s▥队资源池已满，宝石位置被激活	%1s▥ team resource pool is full and the gemstone location is activated	%1s▥ team resource pool is full and the gemstone location is activated	%1s▢ Команда наполнила бассейн ресурсов, драгоценный камень активирован	%1s▥ team resource pool is full and the gemstone location is activated	%1s▥ team resource pool is full and the gemstone location is activated	%1s▥ team resource pool is full and the gemstone location is activated	%1s▥ team resource pool is full and the gemstone location is activated	%1s▥ team resource pool is full and the gemstone location is activated	%1s▥ team resource pool is full and the gemstone location is activated	สระทรัพยากรของทีม%1s▢เต็มแล้ว ตำแหน่งอัญมณีถุกเปิดใช้งาน	%1s▥ team resource pool is full and the gemstone location is activated	%1s▥ team resource pool is full and the gemstone location is activated	%1s▥ team resource pool is full and the gemstone location is activated
1024008		队伍获胜	▢FF00FFFF%1s▥激活了神像，%2s▥队伍获胜	▢FF00FFFF%1s▥ activated the statue，%2s▥team win!	▢FF00FFFF%1s▥ activated the statue，%2s▥team win!	▢FF00FFFF%1s▢ активировал статую，%2s▢команда победила!	▢FF00FFFF%1s▥ activated the statue，%2s▥team win!	▢FF00FFFF%1s▥ activated the statue，%2s▥team win!	▢FF00FFFF%1s▥ activated the statue，%2s▥team win!	▢FF00FFFF%1s▥ activated the statue，%2s▥team win!	▢FF00FFFF%1s▥ activated the statue，%2s▥team win!	▢FF00FFFF%1s▥ activated the statue，%2s▥team win!	▢FF00FFFF%1s▢เปิดใช้งานรูปเทว ทีม%2s▢ชนะ	▢FF00FFFF%1s▥ activated the statue，%2s▥team win!	▢FF00FFFF%1s▥ activated the statue，%2s▥team win!	▢FF00FFFF%1s▥ activated the statue，%2s▥team win!
1024009		宝石重新生成	▢FF00FFFF宝石重新生成	▢FF00FFFFGem regeneration	▢FF00FFFFGem regeneration	▢FF00FFFFДрагоценный камень возрождается	▢FF00FFFFGem regeneration	▢FF00FFFFGem regeneration	▢FF00FFFFGem regeneration	▢FF00FFFFGem regeneration	▢FF00FFFFGem regeneration	▢FF00FFFFGem regeneration	▢FF00FFFFอัญมณีเกิดใหม่	▢FF00FFFFGem regeneration	▢FF00FFFFGem regeneration	▢FF00FFFFGem regeneration
1024010		资源填满	%1s▥队资源池已满	%1s▥ team resource pool is full.	%1s▥ team resource pool is full.	Бассейн ресурсов %1s▥ команды заполнен	%1s▥ team resource pool is full.	%1s▥ team resource pool is full.	%1s▥ team resource pool is full.	%1s▥ team resource pool is full.	%1s▥ team resource pool is full.	%1s▥ team resource pool is full.	สระทรัพยากรของทีม%1s▢เต็มแล้ว	%1s▥ team resource pool is full.	%1s▥ team resource pool is full.	%1s▥ team resource pool is full.
1024011		宝石位置被激活	▢FF0000FF宝石位置被激活	▢FF0000FFGem position is activated	▢FF0000FFGem position is activated	▢FF0000FFМестоположение драгоценного камня активировано.	▢FF0000FFGem position is activated	▢FF0000FFGem position is activated	▢FF0000FFGem position is activated	▢FF0000FFGem position is activated	▢FF0000FFGem position is activated	▢FF0000FFGem position is activated	▢FF0000FFตำแหน่งอัญมณีถุกเปิดใช้งาน	▢FF0000FFGem position is activated	▢FF0000FFGem position is activated	▢FF0000FFGem position is activated
