TipType	TipTemplateId	Notice	zh_CN	en_US	pt_BR	ru_RU	ko_KR	de_DE	fr_FR	es_ES	it_IT	in_ID	th_TH	tr_TR	vi_VN	ja_JP
枚举类型(游戏独有的id合成方式，等于游戏id+三位，比如g1019,id组成就是1019XXX)	模板说明	备注	中文	英文	葡萄牙语	俄语	韩语	德语	法语	西语	意大利语	印尼语	泰语	土耳其	越南语	日语
1023501	BuildingBattle	建筑战争	建筑战争	Building Battle	Building Battle	Build Battle	Building Battle	Building Battle	Building Battle	Building Battle	Building Battle	Build Battle	Build Battle	Building Battle	Building Battle	Building Battle
1023502	BuildingBattleReadyTime		▢FF00FF00你有▢FFFF0000%1s秒▢FF00FF00的时间准备	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to prepare	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to prepare	▢FF00FF00У вас ▢FFFF0000%1s сек▢FF00FF00 чтобы приготовиться	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to prepare	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to prepare	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to prepare	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to prepare	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to prepare	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to prepare	▢FF00FF00คุณมี▢FFFF0000%1sวินาที▢FF00FF00ที่จะเตรียมตัว	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to prepare	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to prepare	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to prepare
1023503	BuildingBattleBuildTip		▢FF00FF00你还有▢FFFF0000%1s秒▢FF00FF00的时间建筑	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to build	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to build	▢FF00FF00У вас ▢FFFF0000%1s сек▢FF00FF00 чтобы строить	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to build	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to build	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to build	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to build	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to build	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to build	▢FF00FF00คุณยังมี▢FFFF0000%1sวินาที▢FF00FF00ที่จะก่อสร้าง	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to build	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to build	▢FF00FF00You have ▢FFFF0000%1s seconds▢FF00FF00 to build
1023504	BuildingBattleReadytoGrade		▢FF00FF00时间到，准备开始打分	▢FF00FF00Time out，Ready to grade	▢FF00FF00Time out，Ready to grade	▢FF00FF00Время вышло，приготовьтесь оценивать	▢FF00FF00Time out，Ready to grade	▢FF00FF00Time out，Ready to grade	▢FF00FF00Time out，Ready to grade	▢FF00FF00Time out，Ready to grade	▢FF00FF00Time out，Ready to grade	▢FF00FF00Time out，Ready to grade	▢FF00FF00ถึงเวลา เตรียมที่จะให้คะแนน	▢FF00FF00Time out，Ready to grade	▢FF00FF00Time out，Ready to grade	▢FF00FF00Time out，Ready to grade
1023505	BuildingBattleStartGuess		▢FF00FF00竞猜环节开始	▢FF00FF00Guess Start !	▢FF00FF00Guess Start !	▢FF00FF00Угадайте, кто станет победителем прямо сейчас!	▢FF00FF00Guess Start !	▢FF00FF00Guess Start !	▢FF00FF00Guess Start !	▢FF00FF00Guess Start !	▢FF00FF00Guess Start !	▢FF00FF00Guess Start !	▢FF00FF00ขั้นตอนการเดาคำถามเริ่มขึ้น	▢FF00FF00Guess Start !	▢FF00FF00Guess Start !	▢FF00FF00Guess Start !
1023506	BuildingBattleGuessLeft		▢FF00FF00竞猜环节还有▢FFFF0000%1s秒▢FF00FF00时间	▢FF00FF00You have ▢FFFF0000%1s secs▢FF00FF00 to guess	▢FF00FF00You have ▢FFFF0000%1s secs▢FF00FF00 to guess	▢FF00FF00У вас ▢FFFF0000%1s сек▢FF00FF00 чтобы угадать победителя	▢FF00FF00You have ▢FFFF0000%1s secs▢FF00FF00 to guess	▢FF00FF00You have ▢FFFF0000%1s secs▢FF00FF00 to guess	▢FF00FF00You have ▢FFFF0000%1s secs▢FF00FF00 to guess	▢FF00FF00You have ▢FFFF0000%1s secs▢FF00FF00 to guess	▢FF00FF00You have ▢FFFF0000%1s secs▢FF00FF00 to guess	▢FF00FF00You have ▢FFFF0000%1s secs▢FF00FF00 to guess	▢FF00FF00ขั้นตอนการเดาคำถามยังมี▢FFFF0000%1sวินาที▢FF00FF00เวลา	▢FF00FF00You have ▢FFFF0000%1s secs▢FF00FF00 to guess	▢FF00FF00You have ▢FFFF0000%1s secs▢FF00FF00 to guess	▢FF00FF00You have ▢FFFF0000%1s secs▢FF00FF00 to guess
1023507	BuildingBattleStartGradeOther		请给玩家打分	Grade for other players	Grade for other players	Оценка других игроков	Grade for other players	Grade for other players	Grade for other players	Grade for other players	Grade for other players	Grade for other players	โปรดให้คะแนนแก่ผู้เล่น	Grade for other players	Grade for other players	Grade for other players
1023508	BuildingBattleStartGradeSelf		等待其他玩家打分	Wait for other players	Wait for other players	Ожидание других игроков	Wait for other players	Wait for other players	Wait for other players	Wait for other players	Wait for other players	Wait for other players	รอผู้เล่นอื่นให้คะแนน	Wait for other players	Wait for other players	Wait for other players
1023509	BuildingBattleGradeTip		这是什么鬼！	What the hell	What the hell	Что за чертовщина	What the hell	What the hell	What the hell	What the hell	What the hell	What the hell	นี่คือผีอะไร	What the hell	What the hell	What the hell
1023510	BuildingBattleGradeTip		不行	Bad	Bad	Плохо	Bad	Bad	Bad	Bad	Bad	Bad	ไม่ได้	Bad	Bad	Bad
1023511	BuildingBattleGradeTip		过关	Pass	Pass	Пойдет	Pass	Pass	Pass	Pass	Pass	Pass	ผ่าน	Pass	Pass	Pass
1023512	BuildingBattleGradeTip		挺好的	Good	Good	Хорошо	Good	Good	Good	Good	Good	Good	ดีมาก	Good	Good	Good
1023513	BuildingBattleGradeTip		棒	Very good	Very good	Очень хорошо	Very good	Very good	Very good	Very good	Very good	Very good	เก่ง	Very good	Very good	Very good
